id,date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,population,iso_alpha_3,iso_alpha_2,iso_numeric,iso_currency,key_local,key_google_mobility,key_apple_mobility,key_jhu_csse,key_nuts,key_gadm
00cd1936,2020-08-22,122,,49,,,,,,,,3,-3,2,4,1,-2,2,4,2,2,2,4,0,-3,-80.21,-87.04,-80.95,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-08-23,,,50,2547,,,,,,,3,-3,2,4,1,-2,2,4,2,2,2,4,0,-3,-80.21,-87.04,-80.95,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-08-24,125,,56,2600,,,,,,,3,-3,2,4,1,-2,2,4,2,2,2,4,0,-3,-80.21,-87.04,-80.95,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-08-25,171,,59,2650,,,,,,,3,-3,2,4,1,-2,2,4,2,2,2,4,0,-3,-80.21,-87.04,-80.95,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-08-26,,3,67,2669,,,,,,,3,-3,2,4,1,-2,2,4,2,2,2,4,0,-3,-80.21,-87.04,-80.95,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-08-27,174,,68,2677,,,,,,,3,-3,2,4,1,-2,2,4,2,2,2,4,0,-3,-80.21,-87.04,-80.95,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-08-28,,,73,2681,,,,,,,3,-3,2,4,1,-2,2,4,2,2,2,4,0,-3,-80.21,-87.04,-80.95,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-08-29,,,82,2724,,,,,,,3,-3,2,4,1,-2,2,4,2,2,2,4,0,-3,-80.21,-87.04,-80.95,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-08-30,197,,87,2724,,,,,,,3,-3,2,4,1,-2,2,4,2,2,2,4,0,-3,-80.21,-87.04,-80.95,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-08-31,218,,99,2785,,,,,,,3,-3,2,4,1,-2,2,4,2,2,2,4,0,-3,-80.21,-87.04,-80.95,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-09-01,261,4,104,2860,,,,,,,3,1,2,3,1,1,1,4,2,2,0,1,0,-3,-60.42,-71.3,-58.33,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-09-02,272,5,112,2902,,,,,,,3,1,2,3,1,1,1,4,2,2,0,1,0,-3,-60.42,-71.3,-58.33,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-09-03,274,,123,2902,,,,,,,3,1,2,3,1,1,1,4,2,2,0,1,0,-3,-60.42,-71.3,-58.33,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-09-04,280,6,128,2912,,,,,,,3,1,2,3,1,1,1,4,2,2,0,1,0,-3,-60.42,-71.3,-58.33,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-09-05,,7,129,2913,,,,,,,3,1,2,3,1,1,1,4,2,2,0,1,0,-3,-60.42,-71.3,-58.33,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-09-06,304,,136,3000,,,,,,,3,1,2,3,1,1,1,4,2,2,0,1,0,-3,-60.42,-71.3,-58.33,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-09-07,370,,139,3074,,,,,,,3,1,2,3,1,1,1,4,2,2,0,1,0,-3,-60.42,-71.3,-58.33,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-09-08,384,,154,3111,,,,,,,3,1,2,3,1,1,1,4,2,2,0,1,0,-3,-60.42,-71.3,-58.33,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
